M24_230001	哎。我真的好难过呀！没人理解我。
	ai5 wo3 zhen1 de5 hao3 nan2 guo4 ya5 mei2 ren2 li3 jie3 wo3
M24_230002	哎呦，为什么会这样？心好疼啊。
	ai1 you5 wei4 shen2 me5 hui4 zhei4 yang4 xin1 hao3 teng2 a5
M24_230003	【哭声】我想哭，可是眼泪都快没了。
	wo3 xiang3 ku1 ke3 shi4 yan3 lei4 dou1 kuai4 mei2 le5
M24_230004	哎。天好黑。我好害怕。没有人陪我。
	ai5 tian1 hao3 hei1 wo3 hao3 hai4 pa4 mei2 you3 ren2 pei2 wo3
M24_230005	哎。怎么朋友都离开了。心里空空的。
	ai1 zen3 me5 peng2 you5 dou1 li2 kai1 le5 xin1 li3 kong1 kong1 de5
M24_230006	【叹气】。好想回到从前。那时候好开心。
	hao3 xiang3 hui2 dao4 cong2 qian2 nei4 shi2 hou5 hao3 kai1 xin1
M24_230007	啊，我的心好痛。像被针扎了一样。
	a5 wo3 de5 xin1 hao3 tong4 xiang4 bei4 zhen1 zha1 le5 yi2 yang4
M24_230009	【哭声】，我的声音都被风吹散了。好无助。
	wo3 de5 sheng1 yin1 dou1 bei4 feng1 chui1 san4 le5 hao3 wu2 zhu4
M24_230010	唉。我试着笑，可是心里真的很痛啊。
	ai4 wo3 shi4 zhe5 xiao4 ke3 shi4 xin1 li3 zhen1 de5 hen3 tong4 a5
M24_230011	【叹气】。我害怕黑夜。害怕孤单。好想有人抱抱我。
	wo3 hai4 pa4 hei1 ye4 hai4 pa4 gu1 dan1 hao3 xiang3 you3 ren2 bao4 bao5 wo3
M24_230012	【哭声】，眼泪滑下来。却没人发现我的难过。
	yan3 lei4 hua2 xia4 lai5 que4 mei2 ren2 fa1 xian4 wo3 de5 nan2 guo4
M24_230013	【叹气】。我的梦碎了。像玻璃一样破碎。
	wo3 de5 meng4 sui4 le5 xiang4 bo1 li5 yi2 yang4 po4 sui4
M24_230014	哎呦。心里的秘密没人知道。好孤独。
	ai1 you5 xin1 li3 de5 mi4 mi4 mei2 ren2 zhi1 dao4 hao3 gu1 du2
M24_230015	【哭声】我好想你，失去你真的好痛苦哦。
	wo3 hao3 xiang3 ni3 shi1 qu4 ni3 zhen1 de5 hao3 tong4 ku3 o5
M24_230016	【叹气】。我想大声喊。可是没人听见。
	wo3 xiang3 da4 sheng1 han3 ke3 shi4 mei2 ren2 ting1 jian4
M24_230017	【叹气】。风吹走了我的歌声。只剩沉默。
	feng1 chui1 zou3 le5 wo3 de5 ge1 sheng1 zhi3 sheng4 chen2 mo4
M24_230018	【哭声】、我像迷路的小船。找不到回家的路。
	wo3 xiang4 mi2 lu4 de5 xiao3 chuan2 zhao3 bu2 dao4 hui2 jia1 de5 lu4
M24_230019	【叹气】。我的心像石头一样沉重。喘不过气。
	wo3 de5 xin1 xiang4 shi2 tou5 yi2 yang4 chen2 zhong4 chuan3 bu2 guo4 qi4
M24_230020	哎呦。我好怕黑。也怕没人陪我。
	ai1 you5 wo3 hao3 pa4 hei1 ye3 pa4 mei2 ren2 pei2 wo3
M24_230021	【哭声】、眼泪好像停不下来。心好累。
	yan3 lei4 hao3 xiang4 ting2 bu2 xia4 lai2 xin1 hao3 lei4
M24_230022	【叹气】。我的世界变得灰暗。没有光亮。
	wo3 de5 shi4 jie4 bian4 de5 hui1 an4 mei2 you3 guang1 liang4
M24_230023	【叹气】。我想笑。可是心里满是泪水。
	wo3 xiang3 xiao4 ke3 shi4 xin1 li3 man3 shi4 lei4 shui3
M24_230024	【叹气】。我害怕被遗忘。像风中飘零的叶子。
	wo3 hai4 pa4 bei4 yi2 wang4 xiang4 feng1 zhong1 piao1 ling2 de5 ye4 zi5
M24_230025	【叹气】，好想有人能听懂我内心的声音。
	hao3 xiang3 you3 ren2 neng2 ting1 dong3 wo3 nei4 xin1 de5 sheng1 yin1
M24_230026	【哭声】、我的影子好孤单。没人和我玩。
	wo3 de5 ying3 zi5 hao3 gu1 dan1 mei2 ren2 he2 wo3 wan2
M24_230027	【叹气】。朋友都走了。连空气都变冷了。
	peng2 you5 dou1 zou3 le5 lian2 kong1 qi4 dou1 bian4 leng3 le5
M24_230028	【叹气】。我的泪水像雨滴。滴在心里。
	wo3 de5 lei4 shui3 xiang4 yu3 di1 di1 zai4 xin1 li3
M24_230029	【叹气】。我的声音越来越小。快消失了。
	wo3 de5 sheng1 yin1 yue4 lai2 yue4 xiao3 kuai4 xiao1 shi1 le5
M24_230030	【叹气】。我想回到过去。那时还有欢笑。
	wo3 xiang3 hui2 dao4 guo4 qu4 na4 shi2 hai2 you3 huan1 xiao4
M24_230031	啊，我的心像被冷风吹得刺痛。
	a5 wo3 de5 xin1 xiang4 bei4 leng3 feng1 chui1 de5 ci4 tong4
M24_230032	【哭声】、没人看到我流泪的样子。好难过。
	mei2 ren2 kan4 dao4 wo3 liu2 lei4 de5 yang4 zi5 hao3 nan2 guo4
M24_230033	【叹气】。我害怕黑夜。也害怕孤独。
	wo3 hai4 pa4 hei1 ye4 ye3 hai4 pa4 gu1 du2
M24_230035	【叹气】。我的梦被黑暗吞没。找不到出口。
	wo3 de5 meng4 bei4 hei1 an4 tun1 mo4 zhao3 bu2 dao4 chu1 kou3
M24_230036	【叹气】。我的笑容背后藏着太多悲伤。
	wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 tai4 duo1 bei1 shang1
M24_230037	【叹气】。失去了你。连呼吸都变得沉重。
	shi1 qu4 le5 ni3 lian2 hu1 xi1 dou1 bian4 de5 chen2 zhong4
M24_230038	【叹气】。我的眼泪装满了没说出口的痛。
	wo3 de5 yan3 lei4 zhuang1 man3 le5 mei2 shuo1 chu1 kou3 de5 tong4
M24_230039	【哭声】我的世界好冷。没有温暖的角落。
	wo3 de5 shi4 jie4 hao3 leng3 mei2 you3 wen1 nuan3 de5 jiao3 luo4
M24_230040	【喘气】、我试着坚强。但心真的好痛。
	wo3 shi4 zhe5 jian1 qiang2 dan4 xin1 zhen1 de5 hao3 tong4
M24_230041	哎呦。我害怕孤单。也害怕没人理解我。
	ai1 you5 wo3 hai4 pa4 gu1 dan1 ye3 hai4 pa4 mei2 ren2 li3 jie3 wo3
M24_230042	【叹气】。我好想有人陪我走过黑夜。
	wo3 hao3 xiang3 you3 ren2 pei2 wo3 zou3 guo4 hei1 ye4
M24_230043	【叹气】。我的泪水是无声的呼喊。没有回应。
