M35_230001	唉。我真的好难过呀。没人理解我。
	ai4 wo3 zhen1 de5 hao3 nan2 guo4 ya5 mei2 ren2 li3 jie3 wo3
M35_230002	【抽泣】。为什么会这样？心好疼呀。
	wei4 shen2 me5 hui4 zhei4 yang4 xin1 hao3 teng2 ya5
M35_230003	【抽泣】。我想哭。可是眼泪都快没了。
	wo3 xiang3 ku1 ke3 shi4 yan3 lei4 dou1 kuai4 mei2 le5
M35_230004	啊。天好黑呀。我好害怕。没有人陪我。
	a5 tian1 hao3 hei1 ya5 wo3 hao3 hai4 pa4 mei2 you3 ren2 pei2 wo3
M35_230005	啊。怎么朋友都离开了。心里空空的。
	a5 zen3 me5 peng2 you5 dou1 li2 kai1 le5 xin1 li3 kong1 kong1 de5
M35_230006	啊。好想回到从前啊。那时候好开心啊。
	a5 hao3 xiang3 hui2 dao4 cong2 qian2 a5 na4 shi2 hou5 hao3 kai1 xin1 a5
M35_230007	嗯。我的心好痛。像被针扎了一样。
	en5 wo3 de5 xin1 hao3 tong4 xiang4 bei4 zhen1 zha1 le5 yi2 yang4
M35_230008	嘿呦！为什么快乐这么短。难过这么长。
	hei1 you5 wei4 shen2 me5 kuai4 le4 zhe4 me5 duan3 nan2 guo4 zhe4 me5 chang2
M35_230010	啊。我试着笑啊。可是我的心里真的很痛啊！
	a5 wo3 shi4 zhe5 xiao4 a5 ke3 shi4 wo3 de5 xin1 li3 zhen1 de5 hen3 tong4 a5
M35_230012	嗯。眼泪滑下来。却没有人发现我的难过。
	en4 yan3 lei4 hua2 xia4 lai5 que4 mei2 you3 ren2 fa1 xian4 wo3 de5 nan2 guo4
M35_230013	唉。我的梦碎了。像玻璃一样破碎。
	ai4 wo3 de5 meng4 sui4 le5 xiang4 bo1 li5 yi2 yang4 po4 sui4
M35_230014	唉。心里的秘密没有人知道。我好孤单啊！
	ai4 xin1 li3 de5 mi4 mi5 mei2 you3 ren2 zhi1 dao4 wo3 hao3 gu1 dan1 a5
M35_230015	哼。我好想你。失去你我真的好痛苦。
	heng5 wo3 hao3 xiang3 ni3 shi1 qu4 ni3 wo3 zhen1 de5 hao3 tong4 ku3
M35_230017	唉。风吹走了我的歌声。只剩沉默。
	ai4 feng1 chui1 zou3 le5 wo3 de5 ge1 sheng1 zhi3 sheng4 chen2 mo4
M35_230018	【抽泣】。我就像迷路的小船。找不到回家的路。
	wo3 jiu4 xiang4 mi2 lu4 de5 xiao3 chuan2 zhao3 bu2 dao4 hui2 jia1 de5 lu4
M35_230019	【抽泣】。我的心像石头一样沉重。喘不过气。
	wo3 de5 xin1 xiang4 shi2 tou5 yi2 yang4 chen2 zhong4 chuan3 bu2 guo4 qi4
M35_230020	【抽泣】。我好怕黑呀。也怕没有人陪我。
	wo3 hao3 pa4 hei1 ya5 ye3 pa4 mei2 you3 ren2 pei2 wo3
M35_230021	【抽泣】。眼泪好像停不下来。心好累啊。
	yan3 lei4 hao3 xiang4 ting2 bu2 xia4 lai2 xin1 hao3 lei4 a5
M35_230022	唉。我的世界变得太灰暗了。没有光亮。
	ai4 wo3 de5 shi4 jie4 bian4 de5 tai4 hui1 an4 le5 mei2 you3 guang1 liang4
